worker_id,external_id,judgments_count,missed_count,golds_count,agreement,forgiven_count,feedback_count,frontload_count,frontload_missed,channel,country,region,city,last_ip,flagged_at,rejected_at,approved_at,bonus,flag_reason,trust_overall,submission_rate
1,"",0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2301,A39APWH62XBLR9,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
32992,A99F7DB1MDLVK,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
45139,A12SMSQ6D5227J,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
129409,A1DX8T0U3UTD0R,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
163095,A12IDNPL4WLN6C,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
205866,AUVJOESE3XYF3,5,2,4,,0,0,0,0,amt,USA,MD,Columbia,76.100.1.161,,,,0,,0.5,300
389245,A2RA4A0LLQLGUW,30,1,9,,0,0,0,0,amt,USA,FL,Ormond Beach,184.42.31.208,,,,0,,0.8889,300
471463,A1MHGD46DB5Z7H,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
575578,A1PIF4Q8VFHTET,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
601876,A2W4Z9L90K2OFB,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
812580,A32QYANWMXW8EL,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
945648,A372KQ73N0RZLJ,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
1006379,A37QW51L039KKQ,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
1050108,AWEQZZGOOBGV3,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
1223258,AHLEIW6IVQ98T,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
1611840,A6IVYRP8FAIS,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
1857048,2828094,30,0,9,,0,0,0,0,prodege,USA,NJ,Lakewood,71.172.222.108,,,,0,,1.0,300
1858647,1466052,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
1879426,2876688,5,3,4,,0,0,0,0,prodege,CAN,AB,Fort Mcmurray,68.150.96.61,,,,0,,0.25,0
1885091,2461476,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
1888327,2946980,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
1908955,1975141,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
1951643,1387863,5,3,4,,0,0,0,0,prodege,USA,IL,Pontiac,173.24.66.31,,,,0,,0.25,300
1952511,A20889Q8KOZ7R5,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2125761,A1N85Z16PHTLQM,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2163223,A3T41X2IJOV0SU,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2171201,A1VTKPIKK5OT2D,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2189867,A1NP3XGUAKE96X,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2253549,3174334,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
2327897,A2WLBR9LYCTC12,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2338501,A13I3XYNN03ADU,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2374617,3229310,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
2429663,A1K9WP8Q74E9G2,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2512865,A2WVOZ0Z7WLLZ4,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2520483,A2D84PVQ0W48QR,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2538693,ATHS9GUME1XCA,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2621825,A1SI0UTGDETZCR,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2674401,A3J2CI4J5V3MLP,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2676315,A21U1H8VWTQL1I,5,2,4,,0,0,0,0,amt,USA,VA,Lynchburg,108.57.82.100,,,,0,,0.5,0
2928016,2791210,5,0,4,,0,0,0,0,prodege,CAN,AB,Edmonton,174.3.165.145,,,,0,,1.0,0
3045698,3487032,70,1,17,,0,0,0,0,prodege,USA,MA,Boston,71.162.100.246,,,,0,,0.9412,300
3109700,3514836,8,0,5,,0,0,0,0,prodege,CAN,ON,Markham,174.112.178.145,,,,0,,1.0,240
3138290,3526189,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
3216694,3524909,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
3420179,3606346,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
3586978,3659992,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
3663077,3679144,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
3721398,A1KDVTHUDUYA93,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
3760711,Jeanie,0,0,0,,0,0,0,0,cbf,,,,,,,,0,,1.0,0
3924685,A3EJ44J2ZNRMDA,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
3975583,A816HJI9ZUWCA,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
