_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,which_sound_was_more_realistic,orig__golden,jobname,morepc_gold,morepc_gold_reason,rownum,s0_coordinates,s0_hash,s0_iteration,s0_mix,s0_name,s0_simplegrainlength,s0_simplemaxdist,s1_coordinates,s1_hash,s1_iteration,s1_mix,s1_name,s1_simplegrainlength,s1_simplemaxdist
277567815,5/7/2013 01:47:03,false,927504378,,5/7/2013 01:45:55,false,prodege,0.9565,16169863,CAN,ON,Toronto,174.118.50.193,same,"",tune-simple-study-1-rank-iterations,"","",0,0.00_0.00_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15
277567816,5/7/2013 01:38:36,false,927496528,,5/7/2013 01:37:04,false,prodege,0.8462,16738260,USA,NJ,Hoboken,67.85.153.76,same,"",tune-simple-study-1-rank-iterations,"","",1,0.00_0.00_1.00,4065161816f3f7e6dd29042c08483d0b,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15
277567817,5/7/2013 01:48:15,false,927505433,,5/7/2013 01:47:48,false,getpaidto,1.0,14507518,USA,FL,Port Richey,68.200.93.250,s0,"",tune-simple-study-1-rank-iterations,"","",2,0.00_0.00_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,bf5528943917fd12d5732b33bcae57dc,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15
277567818,5/7/2013 01:41:45,false,927499159,,5/7/2013 01:36:36,false,prodege,1.0,6642648,USA,NY,Shirley,69.114.55.50,s1,"",tune-simple-study-1-rank-iterations,"","",3,0.00_0.00_1.00,ef7bcc9362c41758b98ca29543ee9599,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15
277567819,5/7/2013 01:45:06,false,927502481,,5/7/2013 01:44:36,false,getpaidto,1.0,14507518,USA,FL,Port Richey,68.200.93.250,same,"",tune-simple-study-1-rank-iterations,"","",4,0.00_0.00_1.00,4065161816f3f7e6dd29042c08483d0b,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15
277567820,5/7/2013 01:51:02,false,927507648,,5/7/2013 01:49:32,false,instagc,1.0,16636058,USA,CA,Elk Grove,50.126.133.135,same,"",tune-simple-study-1-rank-iterations,"","",5,0.00_0.00_1.00,bf5528943917fd12d5732b33bcae57dc,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15
277567821,5/7/2013 01:42:55,false,927500492,,5/7/2013 01:37:39,false,prodege,1.0,17965629,CAN,ON,Mississauga,70.26.99.205,s0,"",tune-simple-study-1-rank-iterations,"","",6,0.00_0.00_1.00,ef7bcc9362c41758b98ca29543ee9599,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15
277567822,5/7/2013 01:45:07,false,927502503,,5/7/2013 01:43:19,false,prodege,1.0,3045698,USA,MA,Boston,71.162.100.246,same,"",tune-simple-study-1-rank-iterations,"","",7,0.00_0.00_1.00,bf5528943917fd12d5732b33bcae57dc,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,4065161816f3f7e6dd29042c08483d0b,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15
277567823,5/7/2013 01:45:34,false,927503079,,5/7/2013 01:41:36,false,prodege,1.0,12372640,USA,AL,Guin,75.121.63.109,s1,"",tune-simple-study-1-rank-iterations,"","",8,0.00_0.00_1.00,ef7bcc9362c41758b98ca29543ee9599,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,4065161816f3f7e6dd29042c08483d0b,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15
277567824,5/7/2013 01:33:52,false,927492026,,5/7/2013 01:32:08,false,instagc,1.0,16579577,USA,TX,Garland,108.69.194.105,same,"",tune-simple-study-1-rank-iterations,"","",9,0.00_0.00_1.00,bf5528943917fd12d5732b33bcae57dc,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,ef7bcc9362c41758b98ca29543ee9599,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15
