worker_id,external_id,judgments_count,missed_count,golds_count,agreement,forgiven_count,feedback_count,frontload_count,frontload_missed,channel,country,region,city,last_ip,flagged_at,rejected_at,approved_at,bonus,flag_reason,trust_overall,submission_rate
19193,A1KC5ZV1QG0CDI,20,0,7,,0,0,0,0,amt,USA,NY,Astoria,72.227.151.45,,,,0,,1.0,300
61513,A9J48W1C9IZAI,20,1,7,,0,0,0,0,amt,USA,GA,Cumming,76.97.206.90,,,,0,,0.8571,300
262549,A35GEHI7589M8O,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
390741,AIUKV0KVALMY6,30,0,9,,0,0,0,0,amt,USA,NH,Manchester,71.168.99.31,,,,0,,1.0,300
714020,A1MXUKWHT9KEBJ,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
1767196,A1CW3MKC84TWTZ,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
1853290,2867446,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
1857048,2828094,10,0,5,,0,0,0,0,prodege,USA,NJ,Lakewood,71.172.222.108,,,,0,,1.0,300
1865321,2630464,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
1870723,2807475,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
1879527,1445377,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
1883056,916684,30,2,9,,0,0,0,0,prodege,CAN,ON,Toronto,207.219.69.203,,,,0,,0.7778,300
2058722,2131201,40,0,11,,0,0,0,0,prodege,CAN,ON,Markham,76.67.115.124,,,,0,,1.0,300
2287965,3180114,5,1,4,,0,0,0,0,prodege,USA,MA,Lowell,24.61.204.130,,,,0,,0.75,300
2707522,3369983,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
2986948,A34YGE0G8D8G1N,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
3045698,3487032,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
3411376,3585024,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
3587109,3629739,25,2,8,,0,0,0,0,prodege,CAN,NB,Fredericton,142.166.200.211,,,,0,,0.75,300
3600711,wpete,0,0,0,,0,0,0,0,cbf,,,,,,,,0,,1.0,0
3603786,3664201,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
3975583,A816HJI9ZUWCA,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
4318510,2874716,35,2,10,,0,0,0,0,prodege,CAN,ON,Mississauga,99.229.246.41,,,,0,,0.8,300
4589536,3945561,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
4639546,3964739,25,0,8,,0,0,0,0,prodege,CAN,ON,Toronto,74.14.158.134,,,,0,,1.0,300
4687596,3976154,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
4711962,soso501,10,3,5,,0,0,0,0,zoombucks,CAN,ON,Markham,76.67.115.124,,,,0,,0.4,300
4924801,4042780,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
4938404,2332155,30,0,9,,0,0,0,0,prodege,USA,FL,Panama City Beach,24.96.23.99,,,,0,,1.0,300
5013710,273690,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
5172864,1885806,10,3,5,,0,0,0,0,prodege,CAN,ON,Peterborough,74.12.145.124,,,,0,,0.4,300
5471707,3934855,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
5518655,4289351,5,3,4,,0,0,0,0,prodege,CAN,ON,Comber,204.237.42.177,,,,0,,0.25,300
5610877,376972,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
5868527,A1M8UXCD7REP6Y,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
5917071,1969485,5,0,4,,0,0,0,0,fusioncash,USA,NY,Bronx,67.83.166.232,,,,0,,1.0,0
5934739,2973725,30,0,9,,0,0,0,0,prodege,USA,MI,Rose City,65.111.213.42,,,,0,,1.0,300
6010674,3104578,35,3,10,,0,0,0,0,prodege,GBR,J9,Mansfield,86.11.158.181,,,,0,,0.7,300
6116202,A2NA2OJT15COZY,80,0,19,,0,0,0,0,amt,USA,IL,Bartlett,99.141.188.48,,,,0,,1.0,300
6560631,4676753,15,1,6,,0,0,0,0,prodege,USA,UT,Lehi,74.122.79.186,,,,0,,0.8333,300
6891381,4759411,5,0,4,,0,0,0,0,prodege,USA,NY,New York,74.108.229.53,,,,0,,1.0,300
7016073,jrny11,5,3,4,,0,0,0,0,zoombucks,USA,NY,New York,108.21.10.224,,,,0,,0.25,300
7093220,A1E2Y158WG5FR6,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
7099777,4807345,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
7385617,Rockman54,0,0,0,,0,0,0,0,zoombucks,,,,,,,,0,,1.0,0
7439497,1781905,15,0,6,,0,0,0,0,prodege,CAN,ON,Kitchener,67.158.70.179,,,,0,,1.0,300
7560634,4902833,20,0,7,,0,0,0,0,prodege,CAN,AB,Edmonton,68.148.2.144,,,,0,,1.0,400
7704009,4940890,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
7783334,4699223,20,0,7,,0,0,0,0,prodege,CAN,AB,Calgary,70.72.205.23,,,,0,,1.0,300
7786759,4964027,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
8054115,5034324,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
8566899,5160630,5,1,4,,0,0,0,0,prodege,USA,CA,San Mateo,76.14.30.25,,,,0,,0.75,0
8629619,5173814,5,0,4,,0,0,0,0,prodege,GBR,"","",5.70.243.86,,,,0,,1.0,300
8963487,StarlingWebCo,25,1,8,,0,0,0,0,zoombucks,GBR,"","",5.70.243.86,,,,0,,0.875,300
8991873,5255159,0,0,0,,0,0,0,0,prodege,,,,,,,,0,,1.0,0
9523882,A2WP0GEVWEIQC2,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
9542991,AFNGLFA4CZ32U,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
9921933,A3EYWJCIO1MG9W,5,0,4,,0,0,0,0,amt,USA,CO,Aurora,67.41.192.128,,,,0,,1.0,300
